epoch,loss,acc,val_loss,val_acc
1,1.7392211,0.3775008,1.7597423,0.39057508
2,1.4875344,0.46975031,1.5449795,0.47114617
3,1.3637671,0.5167453,1.4315826,0.49021566
4,1.2704816,0.54829544,1.2281451,0.55790734
5,1.194452,0.5768046,1.2257284,0.55940497
6,1.1296488,0.6010323,1.1905923,0.59285146
7,1.069017,0.6214589,1.2916164,0.5471246
8,1.00431,0.646827,1.1507851,0.61132187
9,0.94995946,0.66269207,0.90436685,0.68240815
10,0.91736245,0.6774168,0.9765294,0.6649361
11,0.8802267,0.690561,0.93022823,0.6814097
12,0.84341294,0.7059259,0.88932014,0.69229233
13,0.8129399,0.7149688,0.99001366,0.66902953
14,0.7801037,0.7268526,0.90085757,0.7016773
15,0.761511,0.7346751,0.8155581,0.71715254
16,0.7347731,0.7445182,0.8385513,0.713758
17,0.70936215,0.75216067,0.73964494,0.74570686
18,0.68755454,0.76006323,0.7297485,0.74790335
19,0.6652048,0.7685859,0.6723054,0.76817095
20,0.65061665,0.7744478,0.7073471,0.75379395
21,0.625369,0.7833707,0.7417404,0.7529952
22,0.61527133,0.7856114,0.67059064,0.7745607
23,0.6002722,0.79015285,0.6377739,0.7835463
24,0.5830116,0.7954145,0.66948915,0.77286345
25,0.5675798,0.80199665,0.70280635,0.7621805
26,0.5535722,0.8077585,0.6954419,0.76926917
27,0.5439842,0.8089589,0.6838633,0.7713658
28,0.53002304,0.8147807,0.68386424,0.77336264
29,0.50850016,0.82184297,0.61990494,0.7898363
30,0.5047338,0.8233235,0.59434545,0.80271566
31,0.4904818,0.82838506,0.6015892,0.800619
32,0.48627564,0.82888526,0.5555845,0.80940497
33,0.47184864,0.8327465,0.6200953,0.798722
34,0.4637717,0.83794814,0.64646995,0.7857428
35,0.44944155,0.8419494,0.61464137,0.80002
36,0.44016594,0.84459025,0.6003744,0.8070088
37,0.4240732,0.8509523,0.56919044,0.8146965
38,0.4180496,0.8538532,0.5559351,0.82148564
39,0.41246465,0.8542734,0.58077055,0.81589454
40,0.40218362,0.8580946,0.6214747,0.8038139
